F,K,vol,T,pv_p,pv,bp_error,delta_p,delta,vega_p,vega 
-8.772877540020339315e-03,1.868316073554495554e-02,5.029494288221742285e-03,2.198174777084838549e+00,8.591644385294712199e-08,2.082946943606328288e-07,1.223782505076857156e-03,5.191654869053772983e-05,1.157108703554676711e-04,8.331618628770069213e-06,6.730809472568739056e-04
2.337320638901864076e-03,4.601392460517820387e-02,1.927237269226552557e-03,2.234775326718751121e+00,1.117563134914376631e-15,6.138376603559237679e-56,1.117563134914376677e-11,9.845999154055932878e-13,3.257719623176520796e-52,1.525593153297959728e-13,7.414757370915364447e-51
7.906960835599890700e-03,1.955853880695256064e-02,1.345517548940220257e-02,4.674359172611540991e+00,6.970400738865356778e-03,6.698264346339648581e-03,2.721363925257081817e+00,3.537350189383814403e-01,3.443833374465307129e-01,4.636843385106305393e-02,7.960411711514905342e-01
-3.810368921645741237e-03,3.666032020898447527e-03,9.411439261493161068e-03,9.558671497470014877e-01,9.476277233369387798e-04,1.081865931561730530e-03,1.342382082247917552e+00,2.199695139879473682e-01,2.082446661248741338e-01,1.385723364012706078e-02,2.803807660379976086e-01
4.222314619342764155e-03,4.943662873429262999e-02,7.688242552780873672e-03,1.222547652672171692e+00,3.706852959032241370e-12,7.839457721892837978e-11,7.468772425989613783e-07,2.864551114416519309e-09,5.221881022389650177e-08,4.863308631170582088e-10,3.172938742039019815e-07
3.888401258963492674e-02,4.286151203919184166e-02,8.745403843620708564e-03,3.293972646356154499e+00,4.334175184129384489e-03,4.541168060972347771e-03,2.069928768429632804e+00,4.347537284830979565e-01,4.010641005242356338e-01,4.225376113461608296e-02,7.016714619211896764e-01
1.214199153393279336e-02,-2.449269756728060000e-03,1.259436104560544140e-02,9.960941264622408253e-01,1.544401838439960102e-02,1.535502057366090224e-02,8.899781073869877934e-01,9.126047193778752398e-01,8.771433287800527445e-01,1.377681290807997172e-02,2.029791797149658183e-01
4.753912712921779665e-02,3.418126086187576324e-02,1.019736352166488585e-02,4.799514346646108542e+00,1.713459576169890780e-02,1.713874131187872324e-02,4.145550179815438163e-02,7.511413038612587689e-01,7.250567705445321032e-01,4.101287571143030081e-02,7.309271576793858749e-01
4.758676486311915962e-03,8.858013098926240114e-05,1.287637076218923864e-03,5.348720036627628849e-01,4.042729861186576158e-03,4.670096417946375741e-03,6.273665567597995540e+00,9.740955820368197848e-01,9.999996459925327708e-01,1.104993950936711267e-02,1.332574788378957649e-06
2.620322924512308305e-02,3.030394638797593437e-02,1.213693205589997867e-02,8.207239029487255477e-01,2.577871516534421380e-03,2.637712753990178842e-03,5.984123745575745668e-01,3.924634363920759261e-01,3.545922725890722216e-01,1.861846134138063491e-02,3.371358878894146760e-01
-3.593284676863341826e-03,4.446378697118788526e-02,4.908510154033120937e-03,1.961337971266324143e+00,1.888161901198073301e-14,1.293066128511331152e-15,1.758855288346940263e-10,1.582063220760476884e-11,1.365908125601144535e-12,2.873447269611795655e-12,1.363644134059363648e-11
4.648213778366359905e-02,3.646290651573619659e-03,4.426725303311590531e-03,3.381604713089972680e+00,4.273507323334303776e-02,4.283584723541061789e-02,1.007740020675801373e+00,1.039732258289562283e+00,9.999999288104077788e-01,-1.165594139779491415e-03,7.122165732946951672e-07
2.951947818143536156e-02,3.736949926633830604e-02,4.240284982863370966e-03,4.257962991821714560e+00,8.475312025676144841e-04,8.833147168367498506e-04,3.578351426913536915e-01,1.978391441206783785e-01,1.848140540228606910e-01,2.369154010476768116e-02,5.504603929065224888e-01
3.586669686427772230e-02,4.800498808746964108e-02,1.063284808039123217e-02,9.982625587067800454e-01,5.328807130404665223e-04,6.696868687510654011e-04,1.368061557105988868e+00,1.275684958381902434e-01,1.266070885682168690e-01,9.999267841382507988e-03,2.075154807094119203e-01
1.842139193021827270e-02,4.021062643403607029e-02,7.403886688562172705e-03,3.766147898660439086e+00,2.057420970851599488e-04,4.055333148591120577e-04,1.997912177739521011e+00,5.028792968476272773e-02,6.470040730192420930e-02,9.488502221165213968e-03,2.451827990368386501e-01
-8.988177056062016113e-03,9.360288516623906444e-03,1.475289469315472710e-02,4.378326366146720439e+00,5.514222022951650176e-03,5.254555852424453236e-03,2.596661705271969378e+00,2.877036770236522378e-01,2.761270437556806456e-01,4.095538420243775152e-02,6.995958164909847898e-01
9.775580756271554789e-04,3.137502900304418169e-02,1.491110865869160057e-02,2.797382874426752042e-01,1.265979162610374313e-06,1.064280560795361653e-07,1.159551106530838128e-02,5.251619217603813563e-04,5.801788237673960398e-05,3.967204698950166787e-05,1.254115298668119082e-04
1.157390949350058269e-02,2.101530517328401015e-02,1.062801359621912134e-02,4.668319061515614266e+00,5.333790138678681965e-03,5.203885599994111794e-03,1.299045386845701699e+00,3.648867232236746028e-01,3.404800465765064343e-01,4.961040248315320977e-02,7.921040337950685517e-01
3.881767154779520307e-02,-8.023436258705159835e-03,1.252034480619482887e-02,4.762580813957967507e+00,4.741564231018887549e-02,4.732362990062703029e-02,9.201240956184519870e-01,9.975265606192784684e-01,9.567642160762712678e-01,5.821705287939780461e-03,2.002927354489335565e-01
1.802766042380155725e-02,4.470628159786725619e-02,1.372245954728266992e-02,1.354883458626343629e+00,1.189715895264342982e-04,3.139647595456936113e-04,1.949931700192593320e+00,3.081521319667119077e-02,4.743534717745499785e-02,3.244828116407560189e-03,1.151014081485174090e-01
1.131717431352865719e-03,4.083010152201636128e-02,6.444151663476738352e-03,3.736669854738672303e+00,8.392189340720904887e-08,2.422550354196905102e-06,2.338628460789695870e-02,4.248680947415191261e-05,7.191003668588154306e-04,9.930698923438896120e-06,4.805857238435396611e-03
3.367402481278157500e-02,5.889400863628860630e-03,8.787807660465031534e-03,3.915032694127289936e+00,2.807186458256120259e-02,2.819073568635292390e-02,1.188711037917212998e+00,1.000859471330847850e+00,9.449701211206653628e-01,1.316062288968942312e-02,2.202023875119205332e-01
1.490137868613604540e-02,-4.670358306255785810e-03,6.266499500770960317e-03,4.914084271529826076e+00,2.001762360590325640e-02,2.007119662077790773e-02,5.357301487465132572e-01,9.559918954315826944e-01,9.205690177548701003e-01,2.089466464544830968e-02,3.277845823944286474e-01
2.994333906836595463e-03,4.493107653950977054e-02,1.170691257050873041e-02,3.340356325556999906e+00,4.991814330974524768e-05,2.020899549530180792e-04,1.521718116432728252e+00,1.308375207228748734e-02,2.499793480726222178e-02,2.812460254135830569e-03,1.068105622026678109e-01
8.857409875594112955e-03,7.722231105299093637e-03,1.418863605374672335e-02,3.144981807926168216e+00,1.059133678501412643e-02,1.061609418830816547e-02,2.475740329403904039e-01,5.281368313618663990e-01,5.179919115913348415e-01,3.978224445388234970e-02,7.067684821217949942e-01
1.569954390669913227e-03,2.525749374388575746e-02,2.919002126038651706e-03,1.276347066663723107e+00,2.738320559745318248e-09,1.510867586464934350e-16,2.738320408658559500e-05,2.166251135992346743e-06,3.411853918001529366e-13,2.400412384103260150e-07,2.820460142942001821e-12
3.672023031185678299e-02,8.082462381798509801e-03,8.474641782900523695e-03,1.358929419019933860e-01,2.852074033262222766e-02,2.863776793005827492e-02,1.170275974360472704e+00,1.068113985334626204e+00,1.000000000000000000e+00,-4.474962532108300861e-03,8.326114709097208568e-20
-2.015980919501818985e-03,3.728915715632422079e-02,1.265712999237535510e-02,2.195308535662238505e-02,7.351632127287761990e-10,6.947300373879776226e-102,7.351632127287761888e-06,4.387865198121246011e-07,7.799360163253854379e-98,4.885743230401442911e-08,2.427482836490300821e-97
1.257132051918652751e-03,3.604891377713066725e-02,1.156495893811538764e-02,3.233896966143558149e+00,1.832065775175843129e-04,4.061855088116907392e-04,2.229789312941064416e+00,3.820018303462914544e-02,4.717367989901860570e-02,7.635358243481896179e-03,1.770384048909572905e-01
4.393814064807705436e-03,9.247877133485958231e-03,5.660455372963580159e-03,3.341981409677122983e+00,1.989964769079929398e-03,2.147235625763568509e-03,1.572708566836391153e+00,3.494657991994765123e-01,3.195042535662395711e-01,3.381334166798783541e-02,6.533271935944751085e-01
4.066441042314921511e-02,4.132659150712991031e-02,5.071001181440695262e-03,4.177499204972587421e+00,3.739645247382902566e-03,3.812216413805762441e-03,7.257116642285987851e-01,5.118980744360038804e-01,4.745293769984669785e-01,4.264781613465500054e-02,8.137329579313862249e-01
3.441031364811892451e-02,3.553613803483108430e-02,1.225221350888782215e-02,9.522742156585342066e-01,4.211604656106185743e-03,4.228078105587855864e-03,1.647344948167012157e-01,5.108114772078017340e-01,4.624902860451921560e-01,2.239176393279271662e-02,3.875839206352581501e-01
2.677443374947089533e-02,2.633173021494925742e-02,7.958332549468892514e-03,4.556931058137657864e+00,7.023460796610756993e-03,7.001134877495925751e-03,2.232591911483124136e-01,5.435079193017026133e-01,5.103947869717316843e-01,5.004284081539683848e-02,8.513317656918308884e-01
2.768229151513317693e-02,4.941022436528925976e-02,1.244581218992802437e-03,3.889910412069300438e+00,8.235470917026135337e-08,1.166714633567116840e-22,8.235470917026122949e-04,5.214712544374770911e-05,4.310845311597847749e-19,7.500589698973368257e-06,7.619629048244842835e-18
1.831051627788832931e-02,-6.005469415595174852e-03,4.018911008714584621e-03,3.278667487062160157e-01,2.451841675359592646e-02,2.431598569348349809e-02,2.024310601124283515e+00,1.032171752452901492e+00,1.000000000000000000e+00,-9.495356201313855278e-04,1.299158228984014920e-25
4.415084440988005510e-02,2.719976480112627770e-02,1.026039231108155907e-03,3.422076462458820245e+00,1.673919790513683781e-02,1.695107960875378086e-02,2.118817036169430512e+00,1.105448829818651113e+00,1.000000000000000000e+00,4.403731594467432016e-03,3.537630211745794913e-18
4.409938646142394503e-02,3.494809617973384380e-02,1.406092399160697830e-03,2.880546956664295166e+00,8.736035604062532267e-03,9.151325320366797411e-03,4.152897163042651663e+00,1.064876334237724986e+00,9.999371402707917245e-01,1.527224207114393460e-02,4.340300154348626606e-04
1.990118608612671466e-03,1.002295288722480048e-02,5.012709485093341973e-03,4.496355544111738212e+00,1.293409351779764311e-03,1.380459276959313236e-03,8.704992517954892595e-01,2.450815016414472913e-01,2.249059189415947568e-01,3.154645508281890554e-02,6.358021069391316393e-01
3.753988686933894953e-03,2.985456658155168086e-02,1.252384826995521158e-02,1.771578453317247615e+00,1.808129956959934317e-04,4.197843469417377404e-04,2.389713512457443123e+00,4.330931906025895645e-02,5.869947834481507171e-02,5.402983260355368432e-03,1.558526270664403468e-01
3.323913898592999183e-02,1.683307887940342987e-03,5.403301511549497317e-03,3.962116149119772945e+00,3.146444045634706060e-02,3.156101088919070763e-02,9.657043284364702496e-01,1.059315619940072395e+00,9.983267591259220586e-01,-1.151124623408158977e-03,1.073053159920458674e-02
